site,max_running_jobs,greenscore,latitude,longitude,avg_tdp_w,avg_total_cores,perf_hs06
SARA-MATRIX,500,28.57,52.35623,4.95283,297.75,102.35,29.24
NIKHEF-ELPROD,500,12.03,52.35584,4.95131,248.07,68.35,24.25
RAL-LCG2,500,18.22,51.57,-1.32,179.71,37.22,22.29
FZK-LCG2,500,18.31,49.0915,8.4249,199.64,47.45,27.76
UKI-SCOTGRID-GLASGOW,500,16.17,55.87,-4.29,168.94,30.56,20.85
UKI-SOUTHGRID-RALPP,500,19.02,51.57,-1.31,240.47,51.30,22.25
IN2P3-IRES,500,127.10,48.605807,7.709943,140.03,16.83,26.86
IN2P3-CPPM,500,62.33,43.231,5.441,135.80,17.81,15.72
IN2P3-LPC,500,50.74,45.78,3.08,127.92,12.96,17.09
UKI-LT2-IC-HEP,500,16.28,51.499453,-0.17897844,145.56,27.87,18.06
UKI-NORTHGRID-MAN-HEP,500,14.13,53.47,-2.23,162.47,33.34,17.32
UKI-NORTHGRID-LANCS-HEP,500,12.20,54.0124,-2.7944,174.69,24.69,34.52
TR-03-METU,500,4.58,39.8900,32.7800,150.00,12.00,29.30
GRIF,500,125.92,48.698,2.182,161.88,25.80,27.04
NCG-INGRID-PT,500,18.64,38.7223,-9.1393,121.79,12.00,27.70
prague_cesnet_lcg2,500,35.45,50.0755,14.4378,160.00,16.00,55.35
CNR-ILC-PISA,500,11.12,43.7228,10.4017,150.00,12.00,31.00
