site,max_running_jobs,e_fixed,latitude,longitude,avg_tdp_w,avg_total_cores,perf_hs06,avg_wallclock_cpu_ratio
SARA-MATRIX,25,0.47,52.35623,4.95283,303.40,105.32,28.99,0.984
NIKHEF-ELPROD,25,0.40,52.35584,4.95131,247.48,68.70,23.55,0.979
RAL-LCG2,25,0.44,51.57,-1.32,218.11,50.02,21.13,0.968
UKI-SCOTGRID-GLASGOW,25,0.37,55.87,-4.29,171.31,31.66,18.94,0.963
IN2P3-IRES,25,0.42,48.605807,7.709943,123.01,15.44,18.01,0.988
IN2P3-LPC,25,0.41,45.78,3.08,134.43,14.45,16.97,0.925
UKI-SOUTHGRID-RALPP,25,0.36,51.57,-1.31,234.58,49.55,18.61,0.978
UKI-NORTHGRID-MAN-HEP,25,0.35,53.47,-2.23,150.34,30.28,20.37,0.965
IN2P3-CPPM,25,0.50,43.231,5.441,138.62,18.36,15.85,0.972
UKI-NORTHGRID-LIV-HEP,25,0.39,53.4,-2.96,159.83,15.93,31.10,0.986
UKI-LT2-IC-HEP,25,0.36,51.499453,-0.17897844,172.55,41.10,18.35,0.986
UKI-NORTHGRID-LANCS-HEP,25,0.36,54.0124,-2.7944,147.76,20.67,27.61,0.990
