job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226803126,2026-03-01 10:45:40,1.017,1773.648,1
226803047,2026-03-01 10:45:02,3.173,4172.553,1
226803210,2026-03-01 10:46:19,1.174,1533.228,1
226801680,2026-03-01 10:33:28,14.007,18979.83,1
226803001,2026-03-01 10:44:38,3.009,3758.601,1
226802159,2026-03-01 10:37:05,9.344,14094.78,1
226803312,2026-03-01 10:47:01,1.519,2799.123,1
226803346,2026-03-01 10:47:16,1.18,1695.98,1
226792857,2026-03-01 08:49:57,129.354,275421.18,1
226803105,2026-03-01 10:45:31,2.339,2293.352,1
226803160,2026-03-01 10:45:56,2.34,2044.539,1
226802812,2026-03-01 10:41:34,3.673,4832.4,1
226801727,2026-03-01 10:33:51,13.537,22055.964,1
226802658,2026-03-01 10:40:31,3.675,4431.271,1
226801743,2026-03-01 10:33:59,13.016,20746.53,1
226801267,2026-03-01 10:30:27,19.009,18292.23,1
226803310,2026-03-01 10:47:00,1.171,1513.587,1
226801212,2026-03-01 10:30:02,19.506,18546.924,1
226801601,2026-03-01 10:32:51,14.172,23284.503,1
226803258,2026-03-01 10:46:39,1.343,1508.832,1
226800762,2026-03-01 10:26:12,21.339,29154.415,1
226803016,2026-03-01 10:44:47,2.847,4168.55,1
226801768,2026-03-01 10:34:11,12.351,24980.637,1
226802998,2026-03-01 10:44:30,3.191,4919.208,1
226801714,2026-03-01 10:33:46,13.35,21337.56,1
226801700,2026-03-01 10:33:39,13.521,28663.637,1
226801678,2026-03-01 10:33:27,13.843,19026.081,1
226801378,2026-03-01 10:31:13,13.842,18610.515,1
226792789,2026-03-01 08:46:37,132.522,282210.456,1
226801039,2026-03-01 10:28:35,19.342,18861.864,1
226801560,2026-03-01 10:32:33,14.858,31743.78,1
226801927,2026-03-01 10:35:20,10.842,13639.868,1
226802974,2026-03-01 10:43:36,3.174,3914.784,1
226803185,2026-03-01 10:46:07,1.676,1886.41,1
226803223,2026-03-01 10:46:23,1.174,1510.32,1
226801525,2026-03-01 10:32:18,16.019,25462.188,1
226803077,2026-03-01 10:45:17,2.34,2074.875,1
226801764,2026-03-01 10:34:08,13.18,21051.94,1
226803202,2026-03-01 10:46:15,1.339,1517.152,1
226801641,2026-03-01 10:33:10,12.849,20042.37,1
226803164,2026-03-01 10:45:59,1.678,1443.202,1
226802118,2026-03-01 10:36:47,9.338,14072.282,1
226803049,2026-03-01 10:45:04,2.675,3488.31,1
226801788,2026-03-01 10:34:20,12.688,26920.884,1
226801522,2026-03-01 10:32:16,16.172,19102.152,1
226801805,2026-03-01 10:34:26,12.525,26113.175,1
226801812,2026-03-01 10:34:29,12.35,24740.44,1
226803212,2026-03-01 10:46:19,1.342,1443.127,1
226801675,2026-03-01 10:33:26,13.682,21319.78,1
226803209,2026-03-01 10:46:17,1.337,1374.036,1
226801407,2026-03-01 10:31:24,16.341,24208.486,1
226801800,2026-03-01 10:34:24,11.673,19163.115,1
226803149,2026-03-01 10:45:49,1.359,1850.451,1
226801744,2026-03-01 10:33:59,13.013,21527.691,1
226801630,2026-03-01 10:33:05,15.338,18293.12,1
226801837,2026-03-01 10:34:41,12.521,21442.644,1
226801710,2026-03-01 10:33:44,14.511,24309.134,1
226801864,2026-03-01 10:34:53,12.847,20215.26,1
226802809,2026-03-01 10:41:34,5.008,7535.497,1
226801790,2026-03-01 10:34:20,13.346,21792.144,1
226801241,2026-03-01 10:30:15,19.508,18390.24,1
226801894,2026-03-01 10:35:06,12.022,25174.47,1
226801786,2026-03-01 10:34:19,13.691,20087.522,1
226803139,2026-03-01 10:45:46,3.185,6322.05,1
226803060,2026-03-01 10:45:10,3.176,4181.336,1
226803132,2026-03-01 10:45:43,3.007,3868.704,1
226801687,2026-03-01 10:33:32,14.341,19439.889,1
226803374,2026-03-01 10:47:28,1.172,1503.9,1
226803045,2026-03-01 10:45:01,2.839,4193.625,1
226801806,2026-03-01 10:34:26,13.013,21188.475,1
226801888,2026-03-01 10:35:04,12.024,24936.1,1
226801728,2026-03-01 10:33:53,13.507,19280.0,1
226801483,2026-03-01 10:31:59,16.172,19040.34,1
226803024,2026-03-01 10:44:52,3.36,6665.87,1
226803296,2026-03-01 10:46:56,1.507,1321.472,1
226803140,2026-03-01 10:45:46,3.023,5969.292,1
226803326,2026-03-01 10:47:07,1.505,2152.544,1
226801118,2026-03-01 10:29:16,20.508,20804.175,1
226801187,2026-03-01 10:29:50,20.007,19468.68,1
226801824,2026-03-01 10:34:35,11.858,25243.654,1
226802945,2026-03-01 10:42:56,4.006,4634.864,1
226803344,2026-03-01 10:47:14,1.519,2874.154,1
226803083,2026-03-01 10:45:21,3.34,4810.545,1
226801762,2026-03-01 10:34:07,13.681,20956.972,1
226803390,2026-03-01 10:47:36,1.181,1549.468,1
